Sl. No.,Sector/State/UT,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23 (P),% Share of Total Cons. 2022-23
1,Domestic PDS,3633.6,3231.2,2173.7,1586.6,1291.8,308.2,63
2,Commercial/Industry,97,97.3,86.5,68.6,63.8,54.2,11.1
3,Others,114.5,131,136.6,142.6,137.9,127.1,26
Grand Total,Grand Total,3845.1,3459.5,2396.8,1797.9,1493.4,489.6,100
4,Andaman and Nicobar Islands,3.2,3,1.2,0.1,0,0,0
5,Andhra Pradesh,23.4,1.6,0.9,0.7,0.8,1.9,0.4
6,Arunachal Pradesh,11.7,12,10,10.5,9.7,8.1,1.7
7,Assam,192,190.1,138.8,120.3,92.3,10.7,2.2
8,Bihar,381.7,256.6,189.9,165.4,132.2,37.7,7.7
9,Chandigarh,0.2,0.2,0.1,0.1,0.1,0.1,0
10,Chhattisgarh,72.3,71.5,54.1,43.8,34.4,7.7,1.6
11,Dadra and Nagar Haveli and Daman and Diu,0.4,0.2,0.1,0,0,0,0
12,Delhi,0.8,1,0.7,0.1,0.1,0.2,0
13,Goa,1.1,1.1,0.5,0.3,0.2,NA,0
14,Gujarat,266.8,197.3,97.6,68.2,44.4,6.6,1.3
15,Haryana,2.4,3.2,2.5,1.5,0.9,0.6,0.1
16,Himachal Pradesh,14.5,14.7,11.9,8.7,5.4,3.7,0.8
17,Jammu and Kashmir,126.9,124.4,118.6,79,67.1,44.9,9.2
18,Jharkhand,137.2,117,83.5,64.8,53.7,14.8,3
19,Karnataka,104.3,99.8,64.5,41.4,26.3,14.7,3
20,Kerala,66.7,70.2,58.1,53.1,44.6,24.1,4.9
21,Ladakh,0,0,1.4,47.3,48,44.7,9.1
22,Lakshadweep,0.6,0.6,0.5,0.7,0.5,0,0
23,Madhya Pradesh,262.5,254,185.9,145.9,91,2.8,0.6
24,Maharashtra,305,200.2,54,23.8,14.9,5.8,1.2
25,Manipur,14.6,14.2,10.3,9.1,7.9,2.2,0.4
26,Meghalaya,15.2,15.1,14.9,14,12.5,2.1,0.4
27,Mizoram,3.7,3.7,2.8,2.5,2.1,0.1,0
28,Nagaland,7.5,7.8,7.1,6.7,6.1,1,0.2
29,Odisha,190.2,192.9,162.1,148.1,117,22.4,4.6
30,Puducherry,0.5,0,0,0,0,0,0
31,Punjab,1.9,2.3,4.5,1.2,0.7,0.4,0.1
32,Rajasthan,87.8,56.6,14.2,2.5,1.9,1.5,0.3
33,Sikkim,10.5,10.1,8.8,10.2,10.2,9.5,1.9
34,Tamil Nadu,204.7,196.4,153.9,130.4,104.9,73.8,15.1
35,Telangana,79.3,74.3,23.9,2.7,0.7,0.3,0.1
36,Tripura,22.9,22.8,20.4,19.5,17.5,6.5,1.3
37,Uttar Pradesh,707.4,686.4,353.5,23.8,2.5,1.7,0.3
38,Uttarakhand,13.8,11.5,3.8,4.1,3.5,4,0.8
39,West Bengal,511.4,546.7,541.7,544.5,539.2,135.2,27.6
Total Sales,Total Sales,3845.1,3459.5,2396.8,1795.1,1493.4,489.6,100
40,Pvt Imports,NA,NA,NA,2.8,NA,NA,NA
Total Consumption,Total Consumption,3845.1,3459.5,2396.8,1797.9,1493.4,489.6,NA
