Year,Select a Country,Country,Oil production (MMb/d)
2020,KSA,Saudi Arabia,11.03895133
2020,UAE,Rest of GCC,16.52828437
2020,Oman,Oman,0.950679508
2020,Qatar,Qatar,1.809174826
2020,Bahrain,Rest of GCC,20.14137582
2020,Oman,Rest of GCC,19.23412919
2020,KSA,Rest of GCC,9.145857364
2020,Kuwait,Rest-world,68.20629375
2020,Bahrain,Bahrain,0.043432877
2020,UAE,UAE,3.656524329
2020,UAE,Rest-world,68.20629375
2020,Kuwait,Kuwait,2.686045823
2020,Oman,Rest-world,68.20629375
2020,Qatar,Rest of GCC,18.37563387
2020,Qatar,Rest-world,68.20629375
2020,Bahrain,Rest-world,68.20629375
2020,KSA,Rest-world,68.20629375
2020,Kuwait,Rest of GCC,17.49876287
