Year,Select a country,Country,Natural gas consumption (bcm)
2020,Kuwait,Kuwait,20.64520264
2020,Oman,Oman,25.90632352
2020,UAE,Rest-world,3559.524292
2020,Kuwait,Rest of GCC,242.6078393
2020,Oman,Rest of GCC,237.3467184
2020,Qatar,Qatar,34.98194426
2020,KSA,Saudi Arabia,112.100058
2020,Kuwait,Rest-world,3559.524292
2020,KSA,Rest-world,3559.524292
2020,Oman,Rest-world,3559.524292
2020,Qatar,Rest of GCC,228.2710977
2020,KSA,Rest of GCC,151.152984
2020,UAE,Rest of GCC,193.6335284
2020,UAE,UAE,69.61951356
2020,Qatar,Rest-world,3559.524292
